SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,city,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,Average Tax Revenue,median_household_income_usd,total_population
ACAMPO,48664.72674,-148.89033,583976.72088,-1786.6839599999996,17684.56850862034,6,1,0.0,100.0,ACAMPO,0.0,21.531463100503803,40.2825072518603,,,83913.0,9814.0
ADELANTO,13576.844232,-30.037266,67884.22116,-150.18633000000003,27320.06323107984,4,1,0.0,100.0,ADELANTO,0.5,35.9087986728929,68.4512548871233,23628867.0,7876289.0,45695.5,35179.0
ALAMO,73049.39259999999,118.64523999999994,684999.9762899999,-1279.097025,48785.54268339441,15,1,88.04489588116499,100.0,ALAMO,0.0,2.17508791607944,0.41619371925841897,,,219750.0,9373.0
ALBANY,153765.92200000002,-785.07633444,842200.6074000002,-4288.070280100002,60926.19352823322,35,2,0.0,100.0,ALBANY,0.0,8.12860585201837,8.74006810442679,57342690.0,19114230.0,102361.0,16742.0
ALHAMBRA,21630.949392,-32.172462416,120233.350224,-178.87993799999998,48465.44760118647,7,1,0.0,100.0,ALHAMBRA,0.15,33.7021514496415,66.143271534872,154981924.0,51660641.33333334,59206.0,84647.0
ALTA,185.0,0.0,2220.0,0.0,12.8399316662954,1,1,0.0,100.0,ALTA,0.0,11.7696208617841,16.937823180729,,,75563.0,2932.0
ALTADENA,21139.6,0.0,253675.2,0.0,14367.503893547713,15,1,0.0,100.0,ALTADENA,0.0,17.0076498779497,30.3695295749779,,,101875.0,37326.0
AMERICAN CANYON,246321.56896000003,-390.57183,2569735.0669508,-3193.5306356999995,113629.61569686409,737,2,0.0,100.0,AMERICAN CANYON,0.0,14.5839985533791,24.0131164081221,68336979.0,22778993.0,104042.0,13352.0
ANAHEIM,2843.6481120000003,-1.6353152910000002,14302.66896,-8.226646164000003,4105.06843057128,3,1,0.0,100.0,ANAHEIM,0.3666666666666671,34.963111826092,68.3566654054736,1004225482.0,334741827.3333333,66446.0,347532.0
ANDERSON,153146.06399999998,-137.86500238399998,1627538.6715000004,-1050.0154018580001,162295.57250721753,18,2,14.336812236543492,100.0,ANDERSON,0.0,19.653112693506998,37.425904906041104,22567917.0,7522639.0,47839.0,23258.0
ANGELS CAMP,34384.047026,-285.90726,367388.0150384,-3469.583328,18687.83465337712,8,2,0.0,100.0,ANGELS CAMP,0.0,16.31131716697,28.5660234581914,,,54840.0,4483.0
ANGWIN,12649.272,-112.63211000000001,123444.9288,-1114.6920417,5444.597849844852,3,1,0.0,100.0,ANGWIN,0.0,11.2127246079821,15.525286921427698,,,96705.0,5288.0
ANTIOCH,1090279.8541159998,-1526.2517004300012,12105645.502705995,-16843.510686299982,755185.7000740556,401,2,75.68995325730575,100.0,ANTIOCH,0.0555555555555556,27.3541733760503,54.3574221213268,156004836.0,52001612.0,76397.0,112354.0
APPLE VALLEY,212224.59000000003,-220.077,2514589.7184,-2640.9240000000004,206693.35003398094,20,1,100.0,100.0,APPLE VALLEY,0.0,19.9265316182275,38.1132551393618,81839215.0,27279738.33333333,52921.0,80949.0
APTOS,344026.4910000001,-3084.8930000000014,2726986.2614299995,-24017.0951,193663.26518843797,40,2,22.024012164455737,100.0,APTOS,0.0,5.82002171629617,4.30066843233699,,,102500.0,31518.0
ARBUCKLE,47268.9,0.0,224039.08800000002,0.0,45369.20434260137,2,1,0.0,100.0,ARBUCKLE,0.0,27.4689006062817,54.748391978811995,,,65238.0,5647.0
ARCADIA,72342.81,0.0,868113.72,0.0,40843.1973017146,2,1,0.0,100.0,ARCADIA,0.0,17.1042038452571,30.6911338125868,152549526.0,50849842.0,92807.0,69373.0
ARCATA,582409.920379,-1503.7109731700007,5108532.130400918,-13099.61364446201,587876.0012114532,451,2,2.8295588362770614,100.0,ARCATA,0.0,24.236442091366,48.2280237104301,34193557.0,11397852.333333336,39178.0,14499.0
ARMONA,1900.193904,-6.590762640000001,9500.96952,-32.9538132,7837.695728930871,2,1,0.0,100.0,,,,,,,,
ARNOLD,1858.72,-12.78234,16991.487999999998,-119.529936,1547.710453935579,4,1,0.0,100.0,ARNOLD,0.0,10.5176587939106,14.3839071761887,,,64291.0,4664.0
AROMAS,61619.140999999996,-311.125,622569.0721100002,-3174.62926,40748.695405911545,7,1,0.0,100.0,,,,,,,,
ARROYO GRANDE,282692.11745999986,-1218.98604706,3238651.5253675007,-15423.245369839995,141893.20786205024,94,2,0.0,100.0,ARROYO GRANDE,0.0,6.81427145097733,6.17984613444319,43882463.0,14627487.666666664,89204.5,25014.0
ARVIN,235985.14136999997,-1118.2189301050003,2525115.5240569995,-12564.761510772998,99105.11401967793,69,1,29.568138249729728,100.0,ARVIN,0.5,40.31055290513329,76.3778534493631,15759971.0,5253323.666666667,37428.0,22818.0
ATASCADERO,487560.548833,-2199.8578935620008,5412426.591695801,-26667.468217822006,254199.3286963377,328,2,2.286541693391403,100.0,ATASCADERO,0.0,8.137025663102419,9.25085130533483,60949355.0,20316451.666666668,73061.0,25335.0
ATHERTON,1010.0,0.0,12120.0,0.0,721.490514949886,4,1,0.0,100.0,ATHERTON,0.0,5.577918300126849,5.22133938706016,46121910.0,15373970.0,,7168.0
ATWATER,388888.9852,-143.42904103,4587367.5444,-1095.3018051,519211.6338053749,1443,3,85.56285841035759,100.0,ATWATER,0.5,40.48984172452629,76.5733383781057,35304215.0,11768071.666666664,55891.0,40011.0
AUBURN,215833.16164,-1196.4284196370004,2183727.1615904,-12870.442290489998,222860.3327062729,152,3,9.113390282045911,100.0,AUBURN,0.0,13.2841830733288,20.828603859250897,34441547.0,11480515.666666664,76104.5,44187.0
AVILA BEACH,15711.720319999999,-13.54369,149714.36966040006,-133.4039943,7001.9480212305025,34,2,0.0,100.0,,,,,,,,
BAKERSFIELD,15559277.602253133,-50313.14373544007,159663794.84817716,-530348.2869967532,6153282.741687345,18643,2,7.219449909310274,100.0,BAKERSFIELD,0.49450549450549497,38.599740277968294,73.91852692647241,547373792.0,182457930.66666663,53187.0,557492.0
BALBOA,7175.0,0.0,86100.0,0.0,4081.858160108138,3,1,100.0,100.0,,,,,,,,
BALDWIN PARK,681793.8559400003,-23.228871876,8072173.979699999,-116.14435938,422768.92262032133,10,1,4.412623840531839,100.0,BALDWIN PARK,0.941176470588235,53.1490538252542,91.66351368394501,87887248.0,29295749.33333333,66316.0,75905.0
BANTA,51475.5,0.0,368614.8,0.0,14839.8038306952,1,1,0.0,100.0,,,,,,,,
