number,county,enrollment,free_meal_count,frpm_count,perc_eligible_free,perc_eligible_frpm,tot_lcff,no_title1_status,number_of_schools,perc_title1_status,kWh,budget,claims,programs,perc_obf,perc_resource,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,irr,total_pop,avg_pop,total_wa,avg_wa,perc_wa,total_ba,avg_ba,perc_ba,total_ia,avg_ia,perc_ia,total_aa,avg_aa,perc_aa,total_na,avg_na,perc_na
1,ALAMEDA,227174,83426,95299,0.3672339264,0.4194978299,229206308,55,396,0.1388888889,141267.6008,75584.28261,38,4,14.58848101,100,0.1055555556,21.5329058,42.0986253,99406,0.270123418,9996562,3332187.33,4978718,1659572.67,0.49804303,1116730,372243.333,0.11171141,107148,35716,0.01071849,3166714,1055571.33,0.31678031,94588,31529.3333,0.00946205
2,ALPINE,70,41,43,0.5857142857,0.6142857143,0,0,3,0,0,0,0,0,0,0,0,11.34335677,15.85319712,63750,0.656044503,6658,2219.33333,4634,1544.66667,0.69600481,18,6,0.00270351,1604,534.666667,0.24091319,120,40,0.01802343,2,0.66666667,0.00030039
3,AMADOR,4166,1522,1664,0.3653384542,0.3994239078,0,0,15,0,25881.36288,19733.38931,4,1,0,100,0,23.25754909,45.75608526,62772,0.502563215,235372,78457.3333,211306,70435.3333,0.89775334,6170,2056.66667,0.02621382,5458,1819.33333,0.02318882,3946,1315.33333,0.01676495,634,211.333333,0.00269361
4,BUTTE,30037,15804,17698,0.5261510803,0.5892066451,36579973,15,87,0.1724137931,0,0,0,0,0,0,0.03921568627,20.03326123,38.36549376,52537,0.434554907,1356442,452147.333,1166438,388812.667,0.85992471,24600,8200,0.01813568,33976,11325.3333,0.02504788,66290,22096.6667,0.0488705,3834,1278,0.00282651
5,CALAVERAS,5315,2427,2641,0.4566321731,0.4968955786,3627998,0,27,0,0,0,0,0,0,0,0,15.18085248,25.55177198,63158,0.509595041,274568,91522.6667,250466,83488.6667,0.91221847,2762,920.666667,0.01005944,5310,1770,0.01933947,4888,1629.33333,0.01780251,700,233.333333,0.00254946
6,COLUSA,4720,2856,3577,0.6050847458,0.7578389831,0,0,21,0,0,0,0,0,0,0,0,27.46890061,54.74839198,59401,0.543578676,129088,43029.3333,117816,39272,0.91267972,1664,554.666667,0.01289043,3522,1174,0.02728371,2020,673.333333,0.01564824,756,252,0.00585647
7,CONTRA COSTA,178177,60301,70321,0.3384331311,0.3946693457,115617686,21,290,0.0724137931,262438.583,58411.07702,11,3,92.27937262,100,0.1207729469,17.21319803,30.86139488,99716,0.274897329,6899160,2299720,4527538,1509179.33,0.65624482,656782,218927.333,0.09519739,69700,23233.3333,0.01010268,1235698,411899.333,0.17910847,40790,13596.6667,0.00591231
8,DEL NORTE,4327,2654,2867,0.6133579847,0.6625837763,5854210,1,15,0.06666666667,0,0,0,0,0,0,0,16.84485079,29.97855972,45283,0.530593072,165806,55268.6667,129654,43218,0.78196205,5604,1868,0.03379854,16044,5348,0.09676369,5294,1764.66667,0.03192888,316,105.333333,0.00190584
9,EL DORADO,31134,8533,9617,0.2740733603,0.3088906019,56643051,6,74,0.08108108108,10574.3742,2731.010371,8,1,0,100,0,10.54622312,14.39021314,83377,0.452632459,1144536,381512,1017966,339322,0.8894137,11784,3928,0.01029588,15314,5104.66667,0.01338009,53148,17716,0.04643629,2572,857.333333,0.0022472
10,FRESNO,207600,133032,154017,0.6408092486,0.7418930636,144131468,17,347,0.04899135447,346043.1304,194390.0926,913,3,9.348929995,100,0.5979899497,44.35557894,82.10367007,53969,0.407642153,5952578,1984192.67,4568982,1522994,0.76756357,345452,115150.667,0.05803401,176594,58864.6667,0.02966681,656434,218811.333,0.11027726,16532,5510.66667,0.00277728
11,GLENN,6042,3492,4172,0.5779543198,0.6904998345,7532287,2,27,0.07407407407,0,0,0,0,0,0,0,23.67125796,46.77765166,49633,0.534306275,168572,56190.6667,150480,50160,0.89267494,2224,741.333333,0.01319318,5362,1787.33333,0.03180837,5138,1712.66667,0.03047956,324,108,0.00192203
12,HUMBOLDT,18040,9583,10508,0.5312084257,0.5824833703,23179716,11,90,0.1222222222,1413.3,2957.462378,4,1,0,100,0,15.2839121,25.79770463,48041,0.508712228,816618,272206,680906,226968.667,0.83381214,11794,3931.33333,0.01444249,52250,17416.6667,0.0639834,23236,7745.33333,0.02845394,2700,900,0.00330632
