,PA,PrgID,ProgramName,Grouping,County,Selected,PrimarySector,Sector,BP Sector,ProgramImplementer,ProgramCategory,StatewideProgram,ImplementationContractor,ProgramManager,StartYear,EndYear,Resource_Flag,NonResource_Flag,Deemed_Flag,Custom_Flag,Upstream_Flag,Midstream_Flag,Downstream_Flag,DirectInstall,Audit_Flag,Financing,ParentProgram,Exclude_From_Budget,Exclude_From_CE,TotalGrossMeasureCost,TotalGrossIncentive,TotalFirstYearGrosskW,cpuc_claims
0,BAY,BAYREN06,Commercial,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,REN/CCA,Market Transformation,0,San Francisco Department of the Environment,Lowell Chu,2019,0.0,True,False,False,True,False,False,True,No,True,Other Financing,0,False,False,0.0,0.0,0.0,0.0
240,SCR,SCR-FIN-B1,Public Building Loan Loss Reserve,0,0,x,Commercial,Commercial (Com),0,REN/CCA,Integrated Demand-Side Management,0,The Energy Coalition,0,2016,0.0,False,True,False,False,False,False,False,No,False,Other Financing,SCR-FIN,False,False,0.0,0.0,0.0,0.0
253,SDGE,SDGE3218,SW-COM-Customer Services-Audits Healthcare Energy Efficiency (HEEP),0,0,x,Commercial,Commercial (Com),0,Third/Local Party,Audit,Customer Services,0,0,2016,2016.0,False,True,False,False,False,False,False,No,True,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
229,SCG,SCG3866,COM-Large Solicitation,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,False,False,False,False,No,False,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
198,SCG,SCG3756,3P-Energy Challenger,0,0,x,Commercial,Commercial (Com),0,Third/Local Party,Market Education Outreach,0,0,0,2016,2016.0,False,True,False,False,False,False,False,No,False,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
173,SCE,SCE-TP-028,Monitoring-Based Persistence Commissioning Program (MBPCx),0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,Enovity Inc.,Mary Nguyen,2016,0.0,True,False,False,True,False,False,True,No,True,None,0,False,False,0.0,0.0,0.0,0.0
172,SCE,SCE-TP-027,Monitoring-Based Commissioning (MBx),0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,Enernoc,Mary Nguyen,2016,0.0,True,False,False,True,False,False,True,No,True,None,0,False,False,0.0,0.0,0.0,0.0
290,SDGE,SDGE3309,Sustainable Labs Program,0,0,x,Commercial,Commercial (Com),0,Third/Local Party,Other,0,Willdan Energy Solutions,0,2016,2016.0,True,False,True,True,False,True,False,No,True,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
227,SCG,SCG3845,COM-SMB Solicitation,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,False,False,False,False,No,False,None,Third Party Programs,False,False,0.0,0.0,0.0,0.0
75,PGE,PGE_Com_002,Smart Labs,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,True,False,False,True,No,False,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
31,PGE,PGE210144,Innovative Solicitation (Commercial),0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,0,0,2016,0.0,False,False,False,True,False,False,True,Yes,False,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
30,PGE,PGE210141,Lincus Commercial Mid-Market Program,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,Lincus,Eric Kissel,2016,0.0,True,False,True,True,False,False,True,No,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
25,PGE,PGE210136,McKinstry Laboratory Fume Hoods,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,McKinstry,Genrick Gofman,2016,0.0,True,False,True,False,False,False,True,No,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
18,PGE,PGE210127,Innovative Designs for Energy Efficiency Approaches (IDEEA),0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Emerging Technologies,0,0,Genrick Gofman,2016,0.0,True,False,True,True,False,False,False,No,False,None,Commercial Third Party Programs,False,True,0.0,0.0,0.0,0.0
14,PGE,PGE210122,Casino Green,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,Ecology Action,0,2016,0.0,True,False,True,True,False,False,True,Yes,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
13,PGE,PGE210120,Monitoring-Based Commissioning,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,EnerNOC,0,2016,0.0,True,False,False,True,False,False,True,No,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
10,PGE,PGE210117,Energy-Efficient Parking Garage,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,EFM Solutions LLC,0,2016,0.0,True,False,False,True,False,False,True,No,True,Other Financing,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
9,PGE,PGE210116,Small Business Commercial Comprehensive,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,KEMA,0,2016,0.0,True,False,True,False,False,False,True,Partial,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
7,PGE,PGE210114,Energy Savers,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,The Energy Alliance Association,0,2016,0.0,True,False,True,False,False,False,True,Partial,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
4,PGE,PGE210110,Monitoring-Based Persistence Commissioning,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,Enovity,0,2016,0.0,True,False,False,True,False,False,True,No,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
2,MCE,MCE02,Commercial Upgrade,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,REN/CCA,Other,0,0,Joey Lande,2016,0.0,True,False,True,True,False,False,True,Partial,True,Other Financing,0,False,False,0.0,0.0,0.0,0.0
1,LCE,LCE-COM-001,Small Commercial Direct Install,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,REN/CCA,Other,0,0,0,2019,0.0,True,False,True,False,False,False,True,Yes,True,None,0,False,False,0.0,0.0,0.0,0.0
16,PGE,PGE210125,California Preschool Energy Efficiency Program,Education (K-12),0,x,Commercial,Commercial (Com),Public: 1.000000,Third/Local Party,Other,0,Low Income Investment Fund,0,2016,0.0,True,False,True,False,False,False,True,No,True,None,Commercial Third Party Programs,False,False,0.0,0.0,0.0,0.0
157,SCE,SCE_3P_2020RCI_003,Commercial Behavioral Program,0,0,x,Commercial,Commercial (Com),Commercial: 1.000000,Third/Local Party,Other,0,0,0,2020,0.0,True,False,False,False,False,False,False,No,False,None,0,False,False,0.0,0.0,0.0,0.0
